category,token,value_de,value_en,type,rdc,mandatory,multiple,logic,expl_de,expl_en,tenant,,,
License Property,Other Use Restriction Note,Zusätzliche Einschränkungen,Other Use Restriction Note,class java.lang.String,,,,,"Zusätzliche Einschränkungen, z.B. Tageszeit.","Additional information about other use restrictions not adequately described elsewhere, e.g., time of day restrictions on Concurrent Users.",,,,
License Property,Partners Access,Partners Access,Partners Access,class com.k_int.kbplus.RefdataValue,y.n.o,,,,Partners Access.,,,,,
License Property,Performance warranty,Gewährleistung einer Systemleistung/Performanz,Performance warranty,class com.k_int.kbplus.RefdataValue,y.n.o,,,,Zusage der Verfügbarkeit und Leistung des lizenzierten Produktes in Prozent.,"The specific percentage of up-time guaranteed for the product being licensed, and the context for that percentage, e.g., routine maintenance, excluding routine maintenance, etc.",,,,
License Property,Permitted Uses,Permitted Uses,Permitted Uses,class java.lang.String,,,,,,The allowance to use s. th. several times.,,,,
License Property,Perpetual coverage from,Dauerhafter Zugang Zeitraum von,Perpetual coverage from,class java.util.Date,,,,,"Definition des Zeitpunktes, ab welchem ein dauerhafter Zugriff ermöglicht wird.",Time span start.,,,,
License Property,Perpetual coverage note,Perpetual coverage note,Perpetual coverage note,class com.k_int.kbplus.RefdataValue,y.n.o,,,,,,,,,
License Property,Perpetual coverage to,Dauerhafter Zugang Zeitraum bis,Perpetual coverage to,class java.util.Date,,,,,"Definition des Zeitpunktes, bis zu welchem ein dauerhafter Zugriff ermöglicht wird.",Time span end.,,,,
License Property,Post Cancellation Online Access,Zugriffsrechte dauerhaft,Post Cancellation Online Access,class com.k_int.kbplus.RefdataValue,y.n.o,,,,Aussagen über das dauerhafte Zugriffsrecht nach Kündigung.,,,,,
License Property,Print copy,Druckkopie,Print copy,class com.k_int.kbplus.RefdataValue,permissions,,,,"Aussagen darüber, inwiefern der Lizenznehmer und autorisierte Nutzer lizenziertes Material ausdrucken darf.",The right of the licensee and authorized users to print a portion of the licensed materials.,,,,
License Property,Print copy term note,Druckkopie Bedingungen zur Nutzung,Print copy term note,class java.lang.String,,,,,Bedingungen der Druckkopie.,Information which qualifies a permissions statement on Print Copy.,,,,
License Property,Publishing Fee,Publikationsgebühr,Publishing Fee,class java.lang.String,,,,,Aussagen über die Publikationsgebühren.,Share of money which has to be payed by e.g. the author.,,,,
License Property,Reading Fee,Reading Fee,Reading Fee,class java.lang.String,,,,,Aussagen über die Zugriffsgebühren.,Share of money which has to be payed by e.g. the user,,,,
License Property,Receiving Modalities,Zweitveröffentlichungsrecht Bezugsmodalitäten,Receiving Modalities,class com.k_int.kbplus.RefdataValue,license.oa.receiving.modalities,,true,,Aussagen über die Bezugsmodalitäten der archivierbaren Version.,Defines the way s.th. is delivered.,,,,
License Property,Regional Restriction,Regionale Einschränkung,Regional Restriction,class com.k_int.kbplus.RefdataValue,y.n.o,,,,"Aussagen darüber, welche regionalen Einschränkungen zur Teilnahme am Vertrag gelten.",,,,,
